date,code,action,price,shares,info
2020-03-13,000553.SZ,SELL,10.1843592624,8600,STOP_LOSS (-8.3%)
2020-03-13,000150.SZ,SELL,4.3239827040000005,20200,STOP_LOSS (-8.3%)
2020-03-13,002832.SZ,SELL,21.822312710400002,3800,STOP_LOSS (-8.3%)
2020-03-16,603719.SH,BUY,66.132,1300,SIGNAL
2020-03-16,000150.SZ,BUY,4.368720000000001,21000,SIGNAL
2020-03-16,600158.SH,BUY,10.170300000000001,9000,SIGNAL
2020-03-16,002832.SZ,BUY,22.444799999999997,4000,SIGNAL
2020-03-16,000553.SZ,BUY,10.85166,8400,SIGNAL
2020-03-16,002346.SZ,SELL,12.265419999999999,7800,TRAILING_STOP (7.3%)
2020-03-16,002227.SZ,SELL,16.7165,5200,STOP_LOSS (-3.6%)
2020-03-17,600222.SH,BUY,5.511,16200,SIGNAL
2020-03-17,000603.SZ,BUY,11.00196,8100,SIGNAL
2020-03-17,600082.SH,BUY,3.98796,22300,SIGNAL
2020-03-17,603948.SH,SELL,27.07574,3100,STOP_LOSS (-5.3%)
2020-03-17,601515.SH,SELL,6.2874,14000,STOP_LOSS (-2.3%)
2020-03-17,603719.SH,SELL,62.76422,1300,STOP_LOSS (-5.2%)
2020-03-17,000150.SZ,SELL,4.33132,21000,STOP_LOSS (-0.9%)
2020-03-17,002832.SZ,SELL,21.43704,4000,STOP_LOSS (-4.6%)
2020-03-17,000553.SZ,SELL,10.24946,8400,STOP_LOSS (-5.6%)
2020-03-18,600272.SH,BUY,7.6152,11600,SIGNAL
2020-03-18,002976.SZ,BUY,47.47476,1800,SIGNAL
2020-03-18,002903.SZ,BUY,14.99994,5900,SIGNAL
2020-03-18,600961.SH,BUY,6.22242,14200,SIGNAL
2020-03-18,600249.SH,BUY,5.05008,17600,SIGNAL
2020-03-19,603949.SH,BUY,30.06,2700,SIGNAL
2020-03-19,603278.SH,BUY,10.190339999999999,1100,SIGNAL
2020-03-19,600222.SH,SELL,5.25946,16200,STOP_LOSS (-4.6%)
2020-03-19,600082.SH,SELL,3.6615853536000005,22300,STOP_LOSS (-8.3%)
2020-03-19,600272.SH,SELL,7.0858,11600,STOP_LOSS (-7.0%)
2020-03-19,002976.SZ,SELL,43.58942564160001,1800,STOP_LOSS (-8.3%)
2020-03-19,002903.SZ,SELL,13.772344910400001,5900,STOP_LOSS (-8.3%)
2020-03-19,600961.SH,SELL,5.96804,14200,STOP_LOSS (-4.2%)
2020-03-19,600249.SH,SELL,4.6367814528,17600,STOP_LOSS (-8.3%)
2020-03-20,600272.SH,BUY,7.05408,11900,SIGNAL
2020-03-20,600222.SH,BUY,5.240460000000001,16000,SIGNAL
2020-03-20,002976.SZ,BUY,46.793400000000005,1700,SIGNAL
2020-03-20,002903.SZ,BUY,13.086120000000001,6400,SIGNAL
2020-03-20,600082.SH,BUY,3.52704,23800,SIGNAL
2020-03-20,600961.SH,BUY,5.9619,14100,SIGNAL
2020-03-20,600249.SH,BUY,4.26852,17700,SIGNAL
2020-03-20,603949.SH,SELL,27.5998896,2700,STOP_LOSS (-8.3%)
2020-03-20,603278.SH,SELL,11.2275,1100,TRAILING_STOP (10.1%)
2020-03-23,603949.SH,BUY,24.719340000000003,3300,SIGNAL
2020-03-23,600158.SH,SELL,9.337962648000001,9000,STOP_LOSS (-8.3%)
2020-03-23,600222.SH,SELL,5.20956,16000,TRAILING_STOP (-0.7%)
2020-03-23,002976.SZ,SELL,42.96382814400001,1700,STOP_LOSS (-8.3%)
2020-03-24,000603.SZ,SELL,12.584779999999999,8100,SIGNAL_LOST (14.3%)
2020-03-24,002437.SZ,BUY,2.7054,30800,SIGNAL
2020-03-24,000590.SZ,BUY,10.6713,7800,SIGNAL
2020-03-24,600127.SH,BUY,4.909800000000001,16900,SIGNAL
2020-03-24,000597.SZ,BUY,7.8456600000000005,10600,SIGNAL
2020-03-24,000930.SZ,BUY,7.27452,2000,SIGNAL
2020-03-24,002903.SZ,SELL,12.6746,6400,STOP_LOSS (-3.2%)
2020-03-25,600272.SH,SELL,7.27542,11900,SIGNAL_LOST (3.1%)
2020-03-25,600082.SH,SELL,3.53292,23800,SIGNAL_LOST (0.1%)
2020-03-25,600961.SH,SELL,6.0379,14100,SIGNAL_LOST (1.2%)
2020-03-25,600249.SH,SELL,4.1417,17700,SIGNAL_LOST (-3.0%)
2020-03-25,600127.SH,SELL,5.002974000000001,16900,TRAILING_STOP (1.8%)
2020-03-26,000889.SZ,BUY,11.312579999999999,7400,SIGNAL
2020-03-26,002150.SZ,BUY,7.5350399999999995,11100,SIGNAL
2020-03-26,603949.SH,SELL,23.87216,3300,STOP_LOSS (-3.5%)
2020-03-27,603221.SH,BUY,19.12818,4300,SIGNAL
2020-03-27,000889.SZ,SELL,11.28738,7400,TRAILING_STOP (-0.3%)
2020-03-27,002150.SZ,SELL,7.1856,11100,STOP_LOSS (-4.7%)
2020-03-30,000889.SZ,BUY,9.89976,8200,SIGNAL
