date,assets,market,positions,max_assets,dd
2023-02-23,375721.9984958077,BULL,9,1030554.0263425,0.6354174658564304
2023-02-24,377581.9984958077,BULL,9,1030554.0263425,0.6336126114262349
2023-02-27,377581.8889250077,BULL,8,1030554.0263425,0.6336127177484627
2023-02-28,380092.7698252077,BULL,9,1030554.0263425,0.6311762798364094
2023-03-01,378002.7698252077,BULL,9,1030554.0263425,0.6332043151907688
2023-03-02,375631.1262252077,BULL,8,1030554.0263425,0.6355056439317929
2023-03-03,373246.6604396077,BULL,9,1030554.0263425,0.6378194147042604
2023-03-06,375079.7652524077,BULL,8,1030554.0263425,0.6360406580685644
2023-03-07,365137.55652988394,BULL,7,1030554.0263425,0.645688098637798
2023-03-08,363859.318110044,BULL,4,1030554.0263425,0.6469284396458056
2023-03-09,367536.992078444,BULL,6,1030554.0263425,0.6433598019282352
2023-03-10,361607.20652144396,BULL,8,1030554.0263425,0.6491137802791278
2023-03-13,364549.947146724,BULL,7,1030554.0263425,0.6462582864864113
2023-03-14,360522.6796269239,BULL,8,1030554.0263425,0.6501661529513001
2023-03-15,361175.9388681239,BULL,9,1030554.0263425,0.6495322616418668
2023-03-16,356044.55540412397,BULL,8,1030554.0263425,0.6545115090494109
2023-03-17,358457.704622124,BULL,9,1030554.0263425,0.6521699052554163
2023-03-20,357368.15187252394,BULL,7,1030554.0263425,0.6532271547753342
2023-03-21,358155.793143324,BULL,8,1030554.0263425,0.6524628656156524
2023-03-22,364059.16846072394,BULL,9,1030554.0263425,0.6467345144894611
2023-03-23,366878.16846072394,BULL,9,1030554.0263425,0.6439990926406864
2023-03-24,369141.84728472395,BULL,7,1030554.0263425,0.6418025277191617
2023-03-27,369622.60746832396,BULL,9,1030554.0263425,0.6413360211883917
2023-03-28,362223.33448172396,BULL,9,1030554.0263425,0.6485159193766125
2023-03-29,360304.33448172396,BULL,9,1030554.0263425,0.6503780245656151
2023-03-30,359402.88206092396,BULL,7,1030554.0263425,0.651252750584589
2023-03-31,364827.47118632396,BULL,9,1030554.0263425,0.645988990522778
2023-04-03,368988.428227924,BULL,9,1030554.0263425,0.6419513981838616
2023-04-04,367882.328158524,BULL,9,1030554.0263425,0.6430247044260637
2023-04-06,367433.547212724,BULL,9,1030554.0263425,0.6434601798444586
2023-04-07,371615.547212724,BULL,9,1030554.0263425,0.6394021684320514
2023-04-10,365299.463306724,BULL,7,1030554.0263425,0.6455309920983042
2023-04-11,362645.502231524,BULL,8,1030554.0263425,0.648106268122036
