threshold,max_pos,stop_loss,take_profit,cagr_opt,sharpe_opt,max_dd_opt,total_return_opt,n_trades_opt,win_rate_days_opt,monthly_win_rate_opt,n_months_opt,avg_trade_return_opt,trade_win_rate_opt,cagr_test,sharpe_test,max_dd_test,total_return_test,n_trades_test,win_rate_days_test,monthly_win_rate_test,n_months_test,avg_trade_return_test,trade_win_rate_test
0.5,1,-0.05,0.0,-0.9971719260387304,-7.36335767999372,-0.9999999543874895,-0.9999999545152045,658,0.28512396694214875,0.1111111111111111,36,-0.02413400056952605,0.31458966565349544,-0.9968471590107411,-7.966215257811256,-0.9985407273767929,-0.9985169658613072,256,0.2807017543859649,0.06666666666666667,15,-0.024092896247424306,0.3125
0.5,1,-0.05,0.05,-0.9594295453595464,-2.604363837574666,-0.9999266225647987,-0.9999022044881192,658,0.3305785123966942,0.2222222222222222,36,-0.011698808025153065,0.364741641337386,-0.9403380867721044,-2.1610498217141028,-0.9644231355326695,-0.9587549526671402,256,0.32280701754385965,0.2,15,-0.010064336703643196,0.359375
0.5,1,-0.05,0.08,-0.9812017824011747,-3.4341717569313746,-0.9999897364975603,-0.9999893386471197,658,0.2975206611570248,0.16666666666666666,36,-0.015116328557203703,0.3282674772036474,-0.9759281178531869,-3.119770101441078,-0.9873991905914048,-0.9852237259983564,256,0.2912280701754386,0.2,15,-0.014152949625611217,0.32421875
0.5,1,-0.05,0.1,-0.989033495028117,-4.115771499086791,-0.99999773667115,-0.9999977430084708,658,0.2878787878787879,0.1388888888888889,36,-0.017567418735472077,0.31762917933130697,-0.9778017464494813,-3.2100124584354432,-0.9882851040725538,-0.9865176586617185,256,0.2912280701754386,0.13333333333333333,15,-0.014519925585118856,0.32421875
0.5,1,-0.05,0.15,-0.9933339577676993,-4.865163084712268,-0.9999994606319232,-0.9999994621421538,658,0.2865013774104683,0.1111111111111111,36,-0.019874029287248723,0.3161094224924012,-0.9903777244660129,-4.389098543125158,-0.9948457141529315,-0.9947617862829605,256,0.28421052631578947,0.06666666666666667,15,-0.01845127757121475,0.31640625
0.5,1,-0.07,0.0,-0.9949780090161175,-6.530328628160312,-0.9999997614657408,-0.9999997621336367,658,0.30303030303030304,0.1111111111111111,36,-0.021644148255248703,0.3343465045592705,-0.9918199257980987,-6.480275568651652,-0.9957104363035656,-0.9956405888106581,256,0.3087719298245614,0.13333333333333333,15,-0.019930445490298168,0.34375
0.5,1,-0.07,0.05,-0.9324341732457532,-2.1177240956384433,-0.9996741547769313,-0.9995748917935946,658,0.34710743801652894,0.3333333333333333,36,-0.009495062379544185,0.3829787234042553,-0.856218781999319,-1.3499419339859402,-0.9037951175186941,-0.8884675479134094,256,0.3508771929824561,0.4,15,-0.006242483866466158,0.390625
0.5,1,-0.07,0.08,-0.968712438241686,-2.9346930473696333,-0.9999545023346603,-0.9999537365971204,658,0.3140495867768595,0.2222222222222222,36,-0.012914482607643456,0.3465045592705167,-0.9375404412574329,-2.2120088924058163,-0.9629563963662799,-0.9565610097295209,256,0.3192982456140351,0.3333333333333333,15,-0.01000276063978553,0.35546875
0.5,1,-0.07,0.1,-0.9817474609080975,-3.5966553531463448,-0.9999901786109502,-0.9999902061108396,658,0.3044077134986226,0.16666666666666666,36,-0.01536557278591183,0.33586626139817627,-0.941457396771966,-2.2781713094719063,-0.9649213658643271,-0.959628995252975,256,0.3192982456140351,0.3333333333333333,15,-0.010291611599293168,0.35546875
0.5,1,-0.07,0.15,-0.988282868555757,-4.24495143042405,-0.9999972610515282,-0.9999972687205839,658,0.3044077134986226,0.1388888888888889,36,-0.017427126622766537,0.33586626139817627,-0.9745593582324286,-3.371677747974313,-0.9845220495269089,-0.984270020156931,256,0.312280701754386,0.13333333333333333,15,-0.014210701814088615,0.34765625
