ma_window,val_window,q_threshold,val_coeff,is_cagr,is_mdd,is_sharpe,is_vol
220,1300,0.12,0.6,0.024443356419879825,-0.23177948510569504,0.2651846525521298,0.12290988584523437
220,1300,0.12,0.7,0.015437475535953649,-0.2718805155018168,0.18375847526849445,0.14001899765063774
220,1300,0.12,0.8,0.008265571191599097,-0.31970231967429125,0.13260925409268096,0.15125345124782963
220,1300,0.15,0.4,0.03547178010385288,-0.1502314336671669,0.4778706598471435,0.08267444517469578
220,1300,0.15,0.5,0.031354071788985305,-0.19340538233573604,0.3598477725506681,0.10384694872836474
220,1300,0.15,0.6,0.029779200197264544,-0.23609524503375925,0.30646409112633466,0.12453685239329212
220,1300,0.15,0.7,0.017864071913196833,-0.27795828997612243,0.2006541343098509,0.14170806938464603
220,1300,0.15,0.8,0.00943626364506156,-0.3131087514858926,0.1406061263413264,0.15191385877705793
220,1300,0.18,0.4,0.0390725207566176,-0.1474802429403565,0.5073697651325495,0.0853934173630704
220,1300,0.18,0.5,0.03153923467348285,-0.19864965668777457,0.3543538210154419,0.10688868327266315
220,1300,0.18,0.6,0.031383770543102374,-0.24090285153917285,0.3143794997718727,0.12786304589831066
220,1300,0.18,0.7,0.021000751139254703,-0.28336338659151245,0.22167753785419894,0.1443024172635278
220,1300,0.18,0.8,0.011042783419242141,-0.3219312535091178,0.1515033299731274,0.15479308601708508
220,1300,0.2,0.4,0.04209270566600942,-0.1474802429403565,0.5370639104789086,0.08642833954857716
220,1300,0.2,0.5,0.034969836967964074,-0.19864965668777457,0.3833935124741121,0.10808632946949565
220,1300,0.2,0.6,0.03418095348797756,-0.24090285153917285,0.33450277349514695,0.12897124800339077
220,1300,0.2,0.7,0.021974671568650184,-0.28336338659151245,0.22826050312172075,0.14474150453021112
220,1300,0.2,0.8,0.011969902205608784,-0.3219312535091178,0.15762143873082754,0.15519217999152932
220,1400,0.1,0.4,0.026364304731947286,-0.1315119932413148,0.3739775860452887,0.08079634818882163
220,1400,0.1,0.5,0.01944139623992247,-0.17585844229167677,0.24641510374007317,0.10220937595823987
220,1400,0.1,0.6,0.017006004875007363,-0.21980995843187903,0.20594346632243493,0.11986160571901538
220,1400,0.1,0.7,0.005533583746231585,-0.2768747562633783,0.11153349273348279,0.14060607265055933
220,1400,0.1,0.8,0.0076252795621969405,-0.3170284048103831,0.12818452582308154,0.1506295257939248
220,1400,0.12,0.4,0.029871531109572302,-0.14339992884835487,0.41057702914936833,0.08253137992326308
