vol_target,val_tilt,strike_ratio,is_cagr,is_mdd,is_sharpe,is_calmar,oos_cagr,oos_mdd,oos_sharpe,oos_calmar
0.07,0.6,0.97,0.047813321509837525,-0.065689798861594,0.8888367130863509,0.727865244504378,0.1156758711916126,-0.04527357289546365,2.182849956069045,2.5550418001845654
0.07,0.6,1.0,0.046584918276691756,-0.061908709301968796,0.860075884113759,0.7524776207086954,0.11552515236822347,-0.04527357289546365,2.1824019883945995,2.5517127317291743
0.07,0.8,0.95,0.04758754236428131,-0.06875375709423508,0.8861614953825714,0.6921446096255803,0.1175980255862541,-0.047118728919293494,2.171483689381166,2.495780940688783
0.07,0.8,0.97,0.04742687785864552,-0.06537201676915957,0.8804967162135079,0.72549204082411,0.11732762201218971,-0.047118728919293494,2.1672320653664374,2.490042170134774
0.07,0.8,1.0,0.0462580653233009,-0.06177045622708349,0.8538532416551575,0.7488703847879122,0.11719203865516037,-0.047118728919293494,2.166940670650374,2.4871646868040678
0.08,0.0,0.95,0.05170788296985385,-0.0689677041276016,0.9293890433881176,0.749740528903003,0.10960639321105359,-0.03942350532232095,2.2191056759213734,2.7802295182766565
0.08,0.0,0.97,0.05151046443405316,-0.06702751107647413,0.9206830691898917,0.7684973469368868,0.10926323642856861,-0.03942350532232095,2.213152598527251,2.7715251481380965
0.08,0.0,1.0,0.05007899205380206,-0.06981105303792375,0.885256585310782,0.7173504749541229,0.1090679111408599,-0.03942350532232095,2.2121947811139377,2.7665706093138147
0.08,0.2,0.95,0.05171396411551177,-0.06800380497289399,0.9268804353612365,0.7604569205520886,0.11193231151013783,-0.04138962466366733,2.211329047671196,2.704356766211372
0.08,0.2,0.97,0.05154017184756654,-0.06699324502001561,0.9190634931524596,0.7693338609313201,0.11160690333019962,-0.04138962466366733,2.205828892147873,2.6964946949173587
0.08,0.2,1.0,0.05019553836522905,-0.06969718734289404,0.8861710217596814,0.7201946058207287,0.11142630340398019,-0.04138962466366733,2.20504874240462,2.692131284335915
0.08,0.4,0.95,0.05084678165713785,-0.0699896191889926,0.9122269064401908,0.7264903316567068,0.11418143446563223,-0.04336480518181432,2.202555623588311,2.6330438701824472
0.08,0.4,0.97,0.05068558068163287,-0.0667471128058294,0.9054233751044652,0.7593673876064077,0.11387404010923596,-0.04336480518181432,2.197490675018106,2.6259553025039475
0.08,0.4,1.0,0.049415083793135084,-0.06869958364964285,0.8752931106719029,0.7192923329076388,0.11370828696310387,-0.04336480518181432,2.196881548633435,2.622133005933326
0.08,0.6,0.95,0.049568302023173194,-0.07198859227609619,0.8904297018974612,0.6885577347180929,0.11635645324176669,-0.04527357289546365,2.193057541585089,2.5700744562491873
0.08,0.6,0.97,0.049413306290563286,-0.06864083927064847,0.884617460954472,0.71988202381571,0.11606732327034286,-0.04527357289546365,2.1884108648077483,2.5636881705435854
0.08,0.6,1.0,0.04820913975569141,-0.0666052923220102,0.8572756376574887,0.7238034407629249,0.11591655156493097,-0.04527357289546365,2.187967365419594,2.560357934033204
0.08,0.8,0.95,0.04884486497987206,-0.07375936790699036,0.8794532841847817,0.6622191372554171,0.11846426243825259,-0.047118728919293494,2.1831108158938375,2.51416507098827
