trade_date,nav_cs20_full
2023-08-08,1099600.5599964475
2023-08-09,1097331.9393000903
2023-08-10,1096528.5026584426
2023-08-11,1093683.7804829252
2023-08-14,1093674.9176229686
2023-08-15,1095238.1647407988
2023-08-16,1093196.0364817067
2023-08-17,1098004.497618442
2023-08-18,1094400.2718954098
2023-08-21,1093425.301981212
2023-08-22,1093940.6624172523
2023-08-23,1090729.7061268673
2023-08-24,1093561.4601204707
2023-08-25,1087610.5084222204
2023-08-28,1087621.007735116
2023-08-29,1095080.37099835
2023-08-30,1098404.9939930877
2023-08-31,1097412.0822365133
2023-09-01,1097134.0307828893
2023-09-04,1099549.9673526941
2023-09-05,1097608.1955134324
2023-09-06,1097341.2618517359
2023-09-07,1090869.9603046821
2023-09-08,1091164.9153720727
2023-09-11,1092482.3882120883
2023-09-12,1093809.617838644
2023-09-13,1091032.6970105406
2023-09-14,1091418.171937986
2023-09-15,1090165.4793261932
2023-09-18,1089460.7574548535
2023-09-19,1092678.4310223295
2023-09-20,1094930.3639083437
2023-09-21,1088755.8807730568
2023-09-22,1096780.7782917325
2023-09-25,1096221.7666036552
2023-09-26,1093211.4630823482
2023-09-27,1089095.0352201366
2023-09-28,1092101.314121309
2023-10-09,1090016.4702220934
2023-10-10,1087785.103038738
2023-10-11,1086568.8043552756
2023-10-12,1089555.3723881575
2023-10-13,1087564.7943419681
2023-10-16,1083747.1035268006
2023-10-17,1083404.8141344297
2023-10-18,1078887.710570973
2023-10-19,1073572.494475697
2023-10-20,1073366.642496065
2023-10-23,1064683.5659452437
2023-10-24,1073739.1407124405
2023-10-25,1075238.536748432
2023-10-26,1075911.6745215647
2023-10-27,1081905.3444229716
2023-10-30,1085815.3871522103
2023-10-31,1085485.461083991
2023-11-01,1085602.6735418634
2023-11-02,1084351.4408011157
2023-11-03,1091833.6906794745
2023-11-06,1096457.3479464524
2023-11-07,1097020.291465365
2023-11-08,1097394.2655283273
2023-11-09,1095555.1152122426
2023-11-10,1092780.6353972272
2023-11-13,1094671.7464856682
2023-11-14,1095168.7652918654
2023-11-15,1099422.327102288
2023-11-16,1095576.2961916479
2023-11-17,1098530.439417375
2023-11-20,1100346.8457710429
2023-11-21,1103973.801938195
2023-11-22,1110374.7309251744
2023-11-23,1109261.382093078
2023-11-24,1118913.205000988
2023-11-27,1127349.408396564
2023-11-28,1128144.1685120265
2023-11-29,1124482.48673923
2023-11-30,1123964.544114505
2023-12-01,1125048.1701868859
2023-12-04,1123581.006595796
2023-12-05,1119809.5887569082
2023-12-06,1119486.413948806
2023-12-07,1120314.7041449922
2023-12-08,1119528.6185500068
2023-12-11,1111160.5594739614
2023-12-12,1114162.090435047
2023-12-13,1114474.609776966
2023-12-14,1122415.6328210037
2023-12-15,1121285.9366001186
2023-12-18,1122892.0335335576
2023-12-19,1120913.7079059544
2023-12-20,1124684.1287413293
2023-12-21,1111025.6313997686
2023-12-22,1112614.0552400826
2023-12-25,1115115.9659365318
2023-12-26,1116369.6341685462
2023-12-27,1118970.7441144574
2023-12-28,1125104.8660589126
2023-12-29,1128149.877851274
2024-01-02,1143260.571684095
2024-01-03,1139840.2552731738
2024-01-04,1142983.140250695
2024-01-05,1140043.7878750074
