ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount
511010.SH,20211119,125.281,125.288,125.398,125.176,125.208,-0.073,-0.0583,4813.0,60336.166
511010.SH,20211118,125.199,125.191,125.37,125.191,125.281,0.082,0.0655,8248.0,103301.12
511010.SH,20211117,125.197,125.194,125.265,125.15,125.199,0.002,0.0016,8810.0,110293.399
511010.SH,20211116,125.149,125.149,125.243,125.149,125.197,0.048,0.0384,4544.0,56898.299
511010.SH,20211115,125.055,125.139,125.162,125.034,125.149,0.094,0.0752,5141.0,64326.157
511010.SH,20211112,125.193,125.143,125.185,125.001,125.055,-0.138,-0.1102,8340.0,104319.462
511010.SH,20211111,125.228,125.239,125.248,125.166,125.193,-0.035,-0.0279,6663.0,83426.823
511010.SH,20211110,125.065,125.071,125.238,125.071,125.228,0.163,0.1303,4268.0,53439.882
511010.SH,20211109,125.173,125.173,125.179,124.985,125.065,-0.108,-0.0863,6557.0,81990.783
511010.SH,20211108,125.06,125.06,125.336,125.06,125.173,0.113,0.0904,5358.0,67080.913
511010.SH,20211105,124.932,124.982,125.159,124.982,125.06,0.128,0.1025,6184.0,77329.025
511010.SH,20211104,124.976,124.976,124.985,124.915,124.932,-0.044,-0.0352,6897.0,86161.613
511010.SH,20211103,124.878,124.862,125.032,124.852,124.976,0.098,0.0785,6849.0,85603.472
511010.SH,20211102,124.777,124.731,124.888,124.727,124.878,0.101,0.0809,6076.0,75852.844
511010.SH,20211101,124.686,124.68,124.78,124.641,124.777,0.091,0.073,8255.0,102968.337
511010.SH,20211029,124.589,124.64,124.69,124.587,124.686,0.097,0.0779,4830.0,60194.854
511010.SH,20211028,124.609,124.57,124.622,124.55,124.589,-0.02,-0.0161,6472.0,80652.32
511010.SH,20211027,124.573,124.588,124.639,124.584,124.609,0.036,0.0289,5459.0,68022.029
511010.SH,20211026,124.48,124.53,124.598,124.467,124.573,0.093,0.0747,4946.0,61618.565
511010.SH,20211025,124.453,124.502,124.502,124.404,124.48,0.027,0.0217,6025.0,74998.116
511010.SH,20211022,124.598,124.461,124.6,124.41,124.453,-0.145,-0.1164,7460.0,92855.03
511010.SH,20211021,124.42,124.43,124.604,124.401,124.598,0.178,0.1431,6838.0,85114.249
511010.SH,20211020,124.38,124.395,124.448,124.345,124.42,0.04,0.0322,5029.0,62556.055
511010.SH,20211019,124.392,124.399,124.43,124.284,124.38,-0.012,-0.0096,6787.0,84416.279
511010.SH,20211018,124.77,124.772,124.772,124.204,124.392,-0.378,-0.303,6643.64,82626.37
511010.SH,20211015,124.789,124.83,124.83,124.606,124.77,-0.019,-0.0152,8525.0,106313.038
511010.SH,20211014,124.76,124.777,124.835,124.757,124.789,0.029,0.0232,5899.0,73613.61
511010.SH,20211013,124.806,124.81,124.856,124.74,124.76,-0.046,-0.0369,5306.0,66206.892
511010.SH,20211012,124.99,124.99,125.08,124.8,124.806,-0.184,-0.1472,5637.32,70413.065
511010.SH,20211011,125.148,125.15,125.188,124.933,124.99,-0.158,-0.1263,7184.0,89820.679
511010.SH,20211008,125.349,125.348,125.397,125.092,125.148,-0.201,-0.1604,6332.0,79252.284
511010.SH,20210930,125.291,125.211,125.494,125.211,125.349,0.058,0.0463,5707.0,71558.947
511010.SH,20210929,124.989,124.98,125.338,124.943,125.291,0.302,0.2416,7575.0,94742.499
511010.SH,20210928,124.971,124.961,125.098,124.919,124.989,0.018,0.0144,5218.0,65250.839
511010.SH,20210927,124.975,124.985,125.035,124.96,124.971,-0.004,-0.0032,6650.0,83108.027
511010.SH,20210924,124.986,124.958,125.062,124.958,124.975,-0.011,-0.0088,6119.0,76488.458
511010.SH,20210923,124.821,124.871,125.095,124.856,124.986,0.165,0.1322,5922.0,73996.625
511010.SH,20210922,124.758,124.735,124.926,124.735,124.821,0.063,0.0505,5989.0,74760.142
511010.SH,20210917,124.65,124.7,124.769,124.6,124.758,0.108,0.0866,8021.0,100027.667
511010.SH,20210916,124.815,124.69,124.789,124.582,124.65,-0.165,-0.1322,8149.69,101588.559
511010.SH,20210915,124.792,124.81,124.895,124.77,124.815,0.023,0.0184,7877.07,98335.421
511010.SH,20210914,124.859,124.866,124.879,124.765,124.792,-0.067,-0.0537,6495.0,81058.481
511010.SH,20210913,124.905,124.889,124.919,124.857,124.859,-0.046,-0.0368,8733.0,109059.726
511010.SH,20210910,124.907,124.908,124.963,124.875,124.905,-0.002,-0.0016,7501.0,93705.668
511010.SH,20210909,124.893,124.9,124.933,124.858,124.907,0.014,0.0112,6211.0,77562.818
511010.SH,20210908,124.928,124.929,124.944,124.89,124.893,-0.035,-0.028,9662.0,120703.922
511010.SH,20210907,125.024,124.99,125.01,124.91,124.928,-0.096,-0.0768,13875.0,173369.045
511010.SH,20210906,125.128,125.08,125.143,125.007,125.024,-0.104,-0.0831,7605.0,95122.405
511010.SH,20210903,125.093,125.092,125.135,125.044,125.128,0.035,0.028,6991.0,87449.661
511010.SH,20210902,125.1,125.065,125.14,125.025,125.093,-0.007,-0.0056,7665.0,95890.221
511010.SH,20210901,125.033,125.0,125.156,124.99,125.1,0.067,0.0536,9963.0,124662.797
511010.SH,20210831,124.86,124.86,125.04,124.86,125.033,0.173,0.1386,8780.0,109758.305
511010.SH,20210830,124.815,124.79,124.936,124.688,124.86,0.045,0.0361,10404.0,129905.804
511010.SH,20210827,124.777,124.925,124.925,124.72,124.815,0.038,0.0305,8837.0,110267.247
511010.SH,20210826,125.085,125.053,125.135,124.628,124.777,-0.308,-0.2462,7159.0,89386.469
511010.SH,20210825,125.04,124.99,125.235,124.915,125.085,0.045,0.036,8184.0,102385.719
511010.SH,20210824,125.092,125.053,125.09,124.809,125.04,-0.052,-0.0416,9720.0,121411.801
511010.SH,20210823,125.166,125.117,125.216,125.058,125.092,-0.074,-0.0591,8517.0,106536.533
511010.SH,20210820,125.088,125.074,125.263,125.056,125.166,0.078,0.0624,13697.0,171450.933
511010.SH,20210819,125.102,125.139,125.239,125.052,125.088,-0.014,-0.0112,7505.0,93889.24
511010.SH,20210818,125.025,125.02,125.185,124.899,125.102,0.077,0.0616,10050.0,125674.691
511010.SH,20210817,124.827,124.823,125.099,124.765,125.025,0.198,0.1586,9178.0,114645.312
511010.SH,20210816,124.832,124.829,124.978,124.782,124.827,-0.005,-0.004,8046.0,100475.774
511010.SH,20210813,124.6,124.543,124.93,124.533,124.832,0.232,0.1862,8199.0,102357.105
511010.SH,20210812,124.493,124.444,124.675,124.444,124.6,0.107,0.0859,6764.0,84263.864
511010.SH,20210811,124.615,124.615,124.664,124.4,124.493,-0.122,-0.0979,12448.0,154896.986
511010.SH,20210810,124.731,124.725,124.778,124.6,124.615,-0.116,-0.093,8542.0,106478.894
511010.SH,20210809,125.019,125.059,125.059,124.715,124.731,-0.288,-0.2304,9232.0,115187.299
511010.SH,20210806,124.984,124.984,125.054,123.938,125.019,0.035,0.028,8961.0,112004.26
