trade_date,nav_satellite_full
2022-09-21,1258907.241779764
2022-09-22,1256710.4143888694
2022-09-23,1252787.7558276025
2022-09-26,1248353.0164855197
2022-09-27,1253179.0573254838
2022-09-28,1246143.3219156181
2022-09-29,1245183.458482571
2022-09-30,1243047.3483261329
2022-10-10,1239241.2238594228
2022-10-11,1241040.878289365
2022-10-12,1247768.2713315177
2022-10-13,1247753.4740131032
2022-10-14,1256737.6976459117
2022-10-17,1255214.0284563366
2022-10-18,1256057.9344223274
2022-10-19,1251896.3028265133
2022-10-20,1248051.7887957492
2022-10-21,1247250.621609968
2022-10-24,1242751.9666713183
2022-10-25,1240544.9847684857
2022-10-26,1243604.284832839
2022-10-27,1241671.7518718827
2022-10-28,1233117.7490240487
2022-10-31,1231835.4212107284
2022-11-01,1237469.771033674
2022-11-02,1240728.679852355
2022-11-03,1239346.388380857
2022-11-04,1245892.0595123027
2022-11-07,1246469.6410957598
2022-11-08,1245836.0844999338
2022-11-09,1249065.2169987322
2022-11-10,1246122.7452503175
2022-11-11,1252062.6822921438
2022-11-14,1247556.7203777765
2022-11-15,1250844.3129570445
2022-11-16,1247902.4743789097
2022-11-17,1247958.2217278907
2022-11-18,1244829.2347050824
2022-11-21,1245719.718897049
2022-11-22,1244098.1575752003
2022-11-23,1245627.2544517498
2022-11-24,1247637.0215717552
2022-11-25,1247775.8110241876
2022-11-28,1244309.0757282008
2022-11-29,1249089.5847460816
2022-11-30,1249468.8331474115
2022-12-01,1252289.1779838721
2022-12-02,1253272.9233234383
2022-12-05,1254370.0374543965
2022-12-06,1251859.4479363782
2022-12-07,1250640.2834981093
2022-12-08,1252230.483730138
2022-12-09,1253268.02754755
2022-12-12,1250074.70244734
2022-12-13,1246129.6844910851
2022-12-14,1246998.4011587447
2022-12-15,1245859.9174327939
2022-12-16,1243254.5921055914
2022-12-19,1239907.6400132857
2022-12-20,1235574.373603101
2022-12-21,1236168.1932897347
2022-12-22,1235654.45630047
2022-12-23,1233752.5290679198
2022-12-26,1236163.9237849598
2022-12-27,1240306.305934307
2022-12-28,1240551.8181316576
2022-12-29,1238246.7080365322
2022-12-30,1240316.4710377655
2023-01-03,1242707.301306665
2023-01-04,1244321.4722646687
2023-01-05,1248113.0444853376
2023-01-06,1246723.7144681723
2023-01-09,1250574.2512577309
2023-01-10,1249506.55215631
2023-01-11,1248426.8091662303
2023-01-12,1248132.2808460803
2023-01-13,1251926.50280837
2023-01-16,1255398.110126972
2023-01-17,1256141.051527774
2023-01-18,1256715.769554393
2023-01-19,1257991.63067362
2023-01-20,1262066.0242945359
2023-01-30,1264991.7076580995
2023-01-31,1261995.3063187546
2023-02-01,1267560.2494366786
2023-02-02,1269021.9510350812
2023-02-03,1264668.9620150735
2023-02-06,1258302.3914070006
2023-02-07,1258624.1330974419
