trade_date,nav_baseline
2021-04-20,1269960.7672464242
2021-04-21,1271776.7636057064
2021-04-22,1271446.80264983
2021-04-23,1273153.3477695996
2021-04-26,1270702.816394189
2021-04-27,1270319.2145144087
2021-04-28,1271933.5007922852
2021-04-29,1274716.5309440338
2021-04-30,1273979.5748051978
2021-05-06,1273391.8544551397
2021-05-07,1271048.3120098314
2021-05-10,1273732.341538406
2021-05-11,1272761.9487132272
2021-05-12,1275777.8347422946
2021-05-13,1270992.0624054049
2021-05-14,1276036.2525932929
2021-05-17,1280860.8198534693
2021-05-18,1281853.122858293
2021-05-19,1281692.4043833308
2021-05-20,1281431.1155558883
2021-05-21,1282513.2628858439
2021-05-24,1284017.0566311101
2021-05-25,1289102.3495542777
2021-05-26,1290860.6255982884
2021-05-27,1292047.8714672131
2021-05-28,1291675.945709667
2021-05-31,1293264.7954612349
2021-06-01,1294965.3156246548
2021-06-02,1291030.4434910815
2021-06-03,1289800.2953076535
2021-06-04,1289694.6126591398
2021-06-07,1289086.4047059144
2021-06-08,1287801.8764434329
2021-06-09,1287930.6506261686
2021-06-10,1290622.2231645333
2021-06-11,1289269.413685853
2021-06-15,1285025.138612567
2021-06-16,1279302.4624614497
2021-06-17,1279435.8567760193
2021-06-18,1281687.0873304198
2021-06-21,1284127.5998458122
2021-06-22,1287015.4139094944
2021-06-23,1290680.209203366
2021-06-24,1289333.3477119028
2021-06-25,1293430.3728038112
2021-06-28,1294232.3090226282
2021-06-29,1292204.9647904045
2021-06-30,1295810.961020409
2021-07-01,1294280.3785802042
2021-07-02,1287815.5244447358
2021-07-05,1289771.1851160375
2021-07-06,1290186.5652024546
2021-07-07,1295105.7028226145
2021-07-08,1294282.6734195973
2021-07-09,1296577.8053761432
2021-07-12,1301188.7239798184
2021-07-13,1305466.5735765863
2021-07-14,1303225.17617755
2021-07-15,1305011.2754055478
2021-07-16,1302988.875775044
2021-07-19,1301614.8573249627
2021-07-20,1302230.8190426272
2021-07-21,1306905.6020657555
2021-07-22,1309942.7355667737
2021-07-23,1307420.907949297
2021-07-26,1301255.0165978984
2021-07-27,1292765.5547062198
2021-07-28,1289645.11937594
2021-07-29,1297080.5500541606
2021-07-30,1297098.7033411511
2021-08-02,1304577.5047616092
2021-08-03,1301786.5678285542
2021-08-04,1306808.584139435
2021-08-05,1304932.8347176071
2021-08-06,1305616.705503226
2021-08-09,1303126.9924678772
2021-08-10,1304467.7950105001
2021-08-11,1305180.3967541007
2021-08-12,1306237.6510531195
2021-08-13,1307603.2144882367
2021-08-16,1307298.3676132243
2021-08-17,1302582.9452602374
2021-08-18,1304792.5201437322
2021-08-19,1301752.6740939538
2021-08-20,1300982.2254434142
2021-08-23,1307164.6489261815
2021-08-24,1311776.4999593908
2021-08-25,1313531.2723078444
2021-08-26,1309239.641529499
2021-08-27,1312044.535037927
2021-08-30,1314907.089144675
2021-08-31,1319548.5263755699
2021-09-01,1319208.3453911818
2021-09-02,1323786.1315762813
2021-09-03,1322081.8402047597
2021-09-06,1327136.6839823138
2021-09-07,1332166.690006168
2021-09-08,1332299.547570501
2021-09-09,1334404.7787924274
2021-09-10,1334261.1555030525
2021-09-13,1335427.90451452
2021-09-14,1330573.2578428232
2021-09-15,1329889.8184387013
2021-09-16,1322888.3879140574
2021-09-17,1322749.298107322
2021-09-22,1323706.4382649013
2021-09-23,1326714.9254470132
2021-09-24,1322319.1858971615
2021-09-27,1317457.6483788514
2021-09-28,1317479.6619923988
2021-09-29,1311116.126638288
2021-09-30,1316017.8404362726
2021-10-08,1315133.344499307
2021-10-11,1312365.054476375
2021-10-12,1305669.3549831305
2021-10-13,1306339.6145522217
2021-10-14,1308783.4221628609
2021-10-15,1312210.719551261
2021-10-18,1310788.0407559928
2021-10-19,1314070.8727820327
2021-10-20,1312990.3258200118
2021-10-21,1314899.698347017
2021-10-22,1312268.2091704982
2021-10-25,1314399.2923612755
2021-10-26,1315996.6184872107
2021-10-27,1312755.9450916892
2021-10-28,1309233.584743574
2021-10-29,1312451.041870976
2021-11-01,1316115.4044709315
2021-11-02,1314861.660672735
2021-11-03,1316376.746711407
2021-11-04,1319916.6003994036
2021-11-05,1319900.60888773
2021-11-08,1322522.5686636083
2021-11-09,1323871.3887901488
2021-11-10,1323270.4238039062
2021-11-11,1326870.0290052071
2021-11-12,1326813.7906699476
2021-11-15,1326963.8050516897
2021-11-16,1325642.9381095637
2021-11-17,1327529.4126382577
2021-11-18,1327500.9192350241
2021-11-19,1331199.8818096058
2021-11-22,1334192.525623305
2021-11-23,1330746.8733608576
2021-11-24,1330922.3198185582
2021-11-25,1331119.9530940112
2021-11-26,1331602.0254154722
2021-11-29,1330488.6848168015
2021-11-30,1330972.5616278742
2021-12-01,1331356.061444117
2021-12-02,1328356.0248067125
2021-12-03,1329463.5648562915
2021-12-06,1326977.8670023417
2021-12-07,1325538.199059938
2021-12-08,1331973.0657944048
2021-12-09,1333777.1332024082
2021-12-10,1333121.5921045155
2021-12-13,1336461.0258163505
2021-12-14,1334472.257014095
2021-12-15,1332325.6458568876
2021-12-16,1337499.382400469
2021-12-17,1333478.7688664093
2021-12-20,1326260.4515158192
2021-12-21,1329952.4020277313
2021-12-22,1331765.3600447567
2021-12-23,1335322.1268612952
2021-12-24,1332408.6577633806
2021-12-27,1332927.290212368
2021-12-28,1335332.1632683938
2021-12-29,1332322.6436048436
2021-12-30,1336459.9525851244
2021-12-31,1339651.450076614
2022-01-04,1338982.3199740038
2022-01-05,1332306.732460096
