ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
H30269.CSI,20181220,7284.2303,7317.9291,7338.8274,7240.1771,7313.9832,-29.7529,-0.4068,17971842.04,14506268.368
H30269.CSI,20181219,7313.9832,7341.8933,7367.5381,7309.1908,7327.9181,-13.9349,-0.1902,11653979.42,10918733.55
H30269.CSI,20181218,7327.9181,7340.5737,7380.9593,7290.6814,7375.1704,-47.2523,-0.6407,12901431.35,10727611.875
H30269.CSI,20181217,7375.1704,7320.658,7375.3701,7298.2356,7327.4539,47.7165,0.6512,13005890.19,10343917.134
H30269.CSI,20181214,7327.4539,7408.6093,7417.0875,7327.4539,7425.5336,-98.0797,-1.3208,12041022.91,17923675.223
H30269.CSI,20181213,7425.5336,7341.8739,7454.1614,7330.6621,7323.5595,101.9741,1.3924,13218792.7,21807420.885
H30269.CSI,20181212,7323.5595,7330.7985,7347.3939,7295.7403,7292.1548,31.4047,0.4307,7502739.68,12392783.822
H30269.CSI,20181211,7292.1548,7256.1882,7297.4798,7254.2751,7246.8849,45.2699,0.6247,6645825.22,11061425.496
H30269.CSI,20181210,7246.8849,7277.2006,7305.9021,7232.9722,7318.9082,-72.0233,-0.9841,7705544.8,13049806.273
H30269.CSI,20181207,7318.9082,7301.6325,7336.3755,7300.9747,7293.4444,25.4638,0.3491,6278025.87,10965171.77
H30269.CSI,20181206,7293.4444,7353.6931,7365.1206,7292.156,7401.4616,-108.0172,-1.4594,9392877.96,17105739.096
H30269.CSI,20181205,7401.4616,7359.0276,7443.3485,7350.3604,7447.1728,-45.7112,-0.6138,8823584.36,16097654.081
H30269.CSI,20181204,7447.1728,7427.3371,7453.2176,7400.7696,7439.0288,8.144,0.1095,11668565.78,18202010.527
H30269.CSI,20181203,7439.0288,7406.022,7453.5995,7353.6377,7250.7558,188.273,2.5966,15841125.89,31080719.47
H30269.CSI,20181130,7250.7558,7195.5806,7253.4798,7173.107,7192.6605,58.0953,0.8077,8246816.42,14782054.666
